base_au_rank,base_au_id,au_id,site_series_id,site_series_label,site_series_split_applied,site_series_split_threshold,base_au_area_share_for_split,source_fragment_count,forest_cover_id_count,covered_area_ha,covered_area_share,base_au_area_ha,base_au_area_share,base_au_cumulative_area_share,site_series_share_of_base_au
7,cwh_vm_2_hw_fdc,cwh_vm_2_hw_fdc_ss07,ss07,BaCw - Salmonberry (07),True,0.04,0.06,2,1,0.5664175953496068,0.00011773752300645493,265.21856082094155,0.05512924856637074,0.6262761308401966,0.0021356634829642084
8,cwh_dm_x_fdc_cw,cwh_dm_x_fdc_cw_ss01,ss01,Hw - Flatmoss (01),True,0.04,0.04,23,14,75.30145746641945,0.015652421735592368,213.60847664411727,0.04440139773154031,0.6706775285717369,0.3525209235580831
8,cwh_dm_x_fdc_cw,cwh_dm_x_fdc_cw_ss05,ss05,Cw - Swordfern (05),True,0.04,0.04,13,11,54.81417050261177,0.011393863315011648,213.60847664411727,0.04440139773154031,0.6706775285717369,0.25661046492052375
8,cwh_dm_x_fdc_cw,cwh_dm_x_fdc_cw_ss07,ss07,Cw - Foamflower (07),True,0.04,0.04,10,9,31.00281692558594,0.006444352896184475,213.60847664411727,0.04440139773154031,0.6706775285717369,0.14513851422309532
8,cwh_dm_x_fdc_cw,cwh_dm_x_fdc_cw_ss03,ss03,FdHw - Salal (03),True,0.04,0.04,14,9,27.74672760972544,0.0057675308943881225,213.60847664411727,0.04440139773154031,0.6706775285717369,0.12989525530839732
8,cwh_dm_x_fdc_cw,cwh_dm_x_fdc_cw_ss04,ss04,Fd - Swordfern (04),True,0.04,0.04,7,4,19.87322101418737,0.004130916545638122,213.60847664411727,0.04440139773154031,0.6706775285717369,0.09303573213200325
8,cwh_dm_x_fdc_cw,cwh_dm_x_fdc_cw_ss02,ss02,FdPl - Cladina (02),True,0.04,0.04,1,1,3.163750069159859,0.0006576280461846724,213.60847664411727,0.04440139773154031,0.6706775285717369,0.014810976225586915
8,cwh_dm_x_fdc_cw,cwh_dm_x_fdc_cw_ss01,ss01,HwBa - Blueberry (01),True,0.04,0.04,2,1,1.4230680837662724,0.0002958038603104626,213.60847664411727,0.04440139773154031,0.6706775285717369,0.006662039382159806
8,cwh_dm_x_fdc_cw,cwh_dm_x_fdc_cw_ss12,ss12,CwSs - Skunk cabbage (12),True,0.04,0.04,1,1,0.28326497266118017,5.8880438230442906e-05,213.60847664411727,0.04440139773154031,0.6706775285717369,0.0013260942501505417
9,cwh_dm_x_cw_hw,cwh_dm_x_cw_hw_ss05,ss05,Cw - Swordfern (05),True,0.04,0.04,19,13,62.340258921620226,0.012958262118397509,181.7198772366682,0.03777292302100311,0.7084504515927401,0.34305690642983194
9,cwh_dm_x_cw_hw,cwh_dm_x_cw_hw_ss04,ss04,Fd - Swordfern (04),True,0.04,0.04,6,6,52.038997388030005,0.010817006220338779,181.7198772366682,0.03777292302100311,0.7084504515927401,0.2863693184221971
9,cwh_dm_x_cw_hw,cwh_dm_x_cw_hw_ss01,ss01,Hw - Flatmoss (01),True,0.04,0.04,16,9,35.44036627174537,0.007366757271552169,181.7198772366682,0.03777292302100311,0.7084504515927401,0.19502746100575763
9,cwh_dm_x_cw_hw,cwh_dm_x_cw_hw_ss02,ss02,FdPl - Cladina (02),True,0.04,0.04,1,1,10.85926920328314,0.002257245304792638,181.7198772366682,0.03777292302100311,0.7084504515927401,0.059758290443594424
9,cwh_dm_x_cw_hw,cwh_dm_x_cw_hw_ss07,ss07,Cw - Foamflower (07),True,0.04,0.04,6,5,10.815129974043083,0.002248070371738288,181.7198772366682,0.03777292302100311,0.7084504515927401,0.0595153933543422
9,cwh_dm_x_cw_hw,cwh_dm_x_cw_hw_ss12,ss12,CwSs - Skunk cabbage (12),True,0.04,0.04,2,1,4.098901158657981,0.0008520117902954792,181.7198772366682,0.03777292302100311,0.7084504515927401,0.022556151924534137
9,cwh_dm_x_cw_hw,cwh_dm_x_cw_hw_ss03,ss03,FdHw - Salal (03),True,0.04,0.04,2,2,2.8467042903873803,0.0005917258126050741,181.7198772366682,0.03777292302100311,0.7084504515927401,0.015665343459812554
