au_id,managed_curve_id,age,volume,height,dbhq,tph,gross_yield,crown_cover
cwh_vm_1_hw_cw_ss03,60010,350,1299.5,47.4,,,1789.8,82.2
cwh_vm_2_fdc_cw,60011,0,0.0,0.0,,,0.0,0.0
cwh_vm_2_fdc_cw,60011,10,0.0,3.9,,,0.8,17.4
cwh_vm_2_fdc_cw,60011,20,16.7,10.5,,,50.5,89.2
cwh_vm_2_fdc_cw,60011,30,184.5,16.6,,,228.2,98.2
cwh_vm_2_fdc_cw,60011,40,374.2,21.9,,,431.1,97.9
cwh_vm_2_fdc_cw,60011,50,561.6,26.5,,,631.6,97.5
cwh_vm_2_fdc_cw,60011,60,744.7,30.5,,,831.3,97.0
cwh_vm_2_fdc_cw,60011,70,907.4,33.8,,,1015.5,96.5
cwh_vm_2_fdc_cw,60011,80,1064.7,36.8,,,1201.8,96.0
cwh_vm_2_fdc_cw,60011,90,1190.4,39.3,,,1361.0,95.5
cwh_vm_2_fdc_cw,60011,100,1308.5,41.6,,,1514.0,95.0
cwh_vm_2_fdc_cw,60011,110,1410.9,43.5,,,1652.2,94.5
cwh_vm_2_fdc_cw,60011,120,1502.8,45.2,,,1778.0,94.0
cwh_vm_2_fdc_cw,60011,130,1583.8,46.7,,,1891.9,93.5
cwh_vm_2_fdc_cw,60011,140,1653.5,48.1,,,1992.2,93.0
cwh_vm_2_fdc_cw,60011,150,1714.1,49.3,,,2082.4,92.5
cwh_vm_2_fdc_cw,60011,160,1766.0,50.3,,,2162.8,91.9
cwh_vm_2_fdc_cw,60011,170,1809.5,51.3,,,2234.0,91.4
cwh_vm_2_fdc_cw,60011,180,1846.5,52.1,,,2298.0,90.9
cwh_vm_2_fdc_cw,60011,190,1878.6,52.9,,,2356.5,90.4
cwh_vm_2_fdc_cw,60011,200,1907.5,53.6,,,2411.4,89.9
cwh_vm_2_fdc_cw,60011,210,1933.1,54.2,,,2462.4,89.4
cwh_vm_2_fdc_cw,60011,220,1956.3,54.8,,,2510.3,88.9
cwh_vm_2_fdc_cw,60011,230,1976.4,55.3,,,2553.2,88.4
cwh_vm_2_fdc_cw,60011,240,1993.7,55.8,,,2591.7,87.8
cwh_vm_2_fdc_cw,60011,250,2008.1,56.2,,,2626.8,87.3
cwh_vm_2_fdc_cw,60011,260,2019.8,56.7,,,2658.3,86.8
cwh_vm_2_fdc_cw,60011,270,2029.0,57.0,,,2686.8,86.3
cwh_vm_2_fdc_cw,60011,280,2037.1,57.4,,,2714.2,85.8
cwh_vm_2_fdc_cw,60011,290,2044.0,57.7,,,2740.4,85.3
cwh_vm_2_fdc_cw,60011,300,2049.2,58.0,,,2764.6,84.8
cwh_vm_2_fdc_cw,60011,310,2053.0,58.3,,,2787.1,84.3
cwh_vm_2_fdc_cw,60011,320,2054.7,58.5,,,2807.0,83.8
cwh_vm_2_fdc_cw,60011,330,2054.6,58.8,,,2824.5,83.3
cwh_vm_2_fdc_cw,60011,340,2053.6,59.0,,,2840.9,82.8
