source_feature_class,res_key,forest_cover_id,bec,bec_zone,bec_subzone,bec_variant,leading_species_1,leading_species_2,leading_species_1_share,leading_species_2_share,species_count,tie_break_used,shape_area_ha,au_id,assignment_status
resultant,958,374,CWHdm,cwh,dm,x,cw,hw,50.0,35.0,3,False,1.7690944079652937,cwh_dm_x_cw_hw,assigned
resultant,1036,934,CWHdm,cwh,dm,x,cw,hw,65.0,25.0,4,False,1.133953894295237,cwh_dm_x_cw_hw,assigned
resultant,1044,471,CWHdm,cwh,dm,x,cw,hw,50.0,40.0,3,False,1.3691385844589736,cwh_dm_x_cw_hw,assigned
resultant,1050,946,CWHdm,cwh,dm,x,cw,hw,60.0,30.0,3,False,2.147667754556131,cwh_dm_x_cw_hw,assigned
resultant,1051,946,CWHdm,cwh,dm,x,cw,hw,60.0,30.0,3,False,1.5392369567361122,cwh_dm_x_cw_hw,assigned
resultant,1052,946,CWHdm,cwh,dm,x,cw,hw,60.0,30.0,3,False,4.624405390032797,cwh_dm_x_cw_hw,assigned
resultant,1063,366,CWHdm,cwh,dm,x,cw,hw,45.0,40.0,3,False,2.5281225040334663,cwh_dm_x_cw_hw,assigned
resultant,1083,943,CWHdm,cwh,dm,x,cw,hw,45.0,40.0,3,False,0.9607889229360158,cwh_dm_x_cw_hw,assigned
resultant,1127,898,CWHdm,cwh,dm,x,cw,hw,50.0,45.0,4,False,4.08505090545402,cwh_dm_x_cw_hw,assigned
resultant,1223,834,CWHdm,cwh,dm,x,cw,hw,55.0,35.0,3,False,1.7548764160606962,cwh_dm_x_cw_hw,assigned
resultant,1274,981,CWHdm,cwh,dm,x,cw,hw,45.0,35.0,3,False,1.2963912168128675,cwh_dm_x_cw_hw,assigned
resultant,1281,40,CWHdm,cwh,dm,x,cw,hw,75.0,25.0,2,False,1.9311971416937292,cwh_dm_x_cw_hw,assigned
resultant,1312,786,CWHdm,cwh,dm,x,cw,hw,53.0,38.0,4,False,10.85926920328314,cwh_dm_x_cw_hw,assigned
resultant,1346,790,CWHdm,cwh,dm,x,cw,hw,35.0,35.0,3,True,1.7015894689800068,cwh_dm_x_cw_hw,assigned
resultant,1347,790,CWHdm,cwh,dm,x,cw,hw,35.0,35.0,3,True,3.005232102039484,cwh_dm_x_cw_hw,assigned
resultant,1348,790,CWHdm,cwh,dm,x,cw,hw,35.0,35.0,3,True,13.700559313797232,cwh_dm_x_cw_hw,assigned
resultant,1377,1056,CWHdm,cwh,dm,x,cw,hw,50.0,40.0,3,False,1.6576148621056148,cwh_dm_x_cw_hw,assigned
resultant,1378,1056,CWHdm,cwh,dm,x,cw,hw,50.0,40.0,3,False,0.7162810720957086,cwh_dm_x_cw_hw,assigned
resultant,1379,1056,CWHdm,cwh,dm,x,cw,hw,50.0,40.0,3,False,0.5601600027214073,cwh_dm_x_cw_hw,assigned
resultant,1380,579,CWHdm,cwh,dm,x,cw,hw,55.0,30.0,3,False,5.462791410219413,cwh_dm_x_cw_hw,assigned
resultant,1390,203,CWHdm,cwh,dm,x,cw,hw,50.0,45.0,3,False,2.584169590622711,cwh_dm_x_cw_hw,assigned
resultant,1616,769,CWHdm,cwh,dm,x,cw,hw,75.0,22.0,3,False,0.12907540579888957,cwh_dm_x_cw_hw,assigned
resultant,1622,1055,CWHdm,cwh,dm,x,cw,hw,55.0,35.0,4,False,3.0633947258479535,cwh_dm_x_cw_hw,assigned
resultant,1624,909,CWHdm,cwh,dm,x,cw,hw,50.0,25.0,4,False,1.0435997422788659,cwh_dm_x_cw_hw,assigned
resultant,1635,1056,CWHdm,cwh,dm,x,cw,hw,50.0,40.0,3,False,0.211517739969884,cwh_dm_x_cw_hw,assigned
resultant,1715,617,CWHdm,cwh,dm,x,cw,hw,50.0,30.0,4,False,0.8421723465818249,cwh_dm_x_cw_hw,assigned
resultant,1716,617,CWHdm,cwh,dm,x,cw,hw,50.0,30.0,4,False,0.3557805976846446,cwh_dm_x_cw_hw,assigned
resultant,1733,941,CWHdm,cwh,dm,x,cw,hw,60.0,40.0,2,False,0.306606131981969,cwh_dm_x_cw_hw,assigned
resultant,1749,893,CWHdm,cwh,dm,x,cw,hw,50.0,35.0,3,False,0.5788340931805561,cwh_dm_x_cw_hw,assigned
resultant,1760,934,CWHdm,cwh,dm,x,cw,hw,65.0,25.0,4,False,1.1890601508438217,cwh_dm_x_cw_hw,assigned
resultant,877,314,CWHdm,cwh,dm,x,cw,pw,50.0,30.0,3,False,0.7636520773909319,cwh_dm_x_cw_pw,assigned
resultant,878,314,CWHdm,cwh,dm,x,cw,pw,50.0,30.0,3,False,1.2942847621225055,cwh_dm_x_cw_pw,assigned
resultant,879,314,CWHdm,cwh,dm,x,cw,pw,50.0,30.0,3,False,0.41909095739367985,cwh_dm_x_cw_pw,assigned
resultant,880,314,CWHdm,cwh,dm,x,cw,pw,50.0,30.0,3,False,2.655582464663136,cwh_dm_x_cw_pw,assigned
resultant,881,314,CWHdm,cwh,dm,x,cw,pw,50.0,30.0,3,False,1.051657895685216,cwh_dm_x_cw_pw,assigned
resultant,882,314,CWHdm,cwh,dm,x,cw,pw,50.0,30.0,3,False,1.7212920500360422,cwh_dm_x_cw_pw,assigned
resultant,883,314,CWHdm,cwh,dm,x,cw,pw,50.0,30.0,3,False,2.0734829981068215,cwh_dm_x_cw_pw,assigned
resultant,48,136,CWHdm,cwh,dm,x,cw,x,100.0,0.0,1,False,0.5377144237019604,cwh_dm_x_cw_x,assigned
resultant,49,136,CWHdm,cwh,dm,x,cw,x,100.0,0.0,1,False,0.8823487474407777,cwh_dm_x_cw_x,assigned
resultant,154,836,CWHdm,cwh,dm,x,dr,act,60.0,30.0,4,False,1.8127206930782978,cwh_dm_x_dr_act,assigned
resultant,155,836,CWHdm,cwh,dm,x,dr,act,60.0,30.0,4,False,1.5013653556689985,cwh_dm_x_dr_act,assigned
resultant,156,836,CWHdm,cwh,dm,x,dr,act,60.0,30.0,4,False,0.6763499831126697,cwh_dm_x_dr_act,assigned
resultant,226,911,CWHdm,cwh,dm,x,dr,act,85.0,10.0,3,False,1.4237134483649125,cwh_dm_x_dr_act,assigned
resultant,307,214,CWHdm,cwh,dm,x,dr,act,90.0,5.0,4,False,1.6203649549304435,cwh_dm_x_dr_act,assigned
resultant,353,853,CWHdm,cwh,dm,x,dr,act,50.0,20.0,5,False,1.5815829381090625,cwh_dm_x_dr_act,assigned
resultant,354,853,CWHdm,cwh,dm,x,dr,act,50.0,20.0,5,False,0.20512648785657903,cwh_dm_x_dr_act,assigned
resultant,355,853,CWHdm,cwh,dm,x,dr,act,50.0,20.0,5,False,4.7565087835861055,cwh_dm_x_dr_act,assigned
resultant,401,837,CWHdm,cwh,dm,x,dr,act,90.0,5.0,3,True,3.6851816491269345,cwh_dm_x_dr_act,assigned
resultant,535,1119,CWHdm,cwh,dm,x,dr,act,85.0,5.0,4,True,2.048350965214495,cwh_dm_x_dr_act,assigned
resultant,549,538,CWHdm,cwh,dm,x,dr,act,80.0,10.0,3,True,1.362428916473829,cwh_dm_x_dr_act,assigned
resultant,562,849,CWHdm,cwh,dm,x,dr,act,70.0,10.0,4,True,0.11251918570027931,cwh_dm_x_dr_act,assigned
resultant,563,849,CWHdm,cwh,dm,x,dr,act,70.0,10.0,4,True,4.875754771089818,cwh_dm_x_dr_act,assigned
resultant,619,371,CWHdm,cwh,dm,x,dr,act,80.0,10.0,4,False,3.618391504335359,cwh_dm_x_dr_act,assigned
resultant,661,913,CWHdm,cwh,dm,x,dr,act,80.0,10.0,3,True,1.3286631527754666,cwh_dm_x_dr_act,assigned
resultant,683,988,CWHdm,cwh,dm,x,dr,act,60.0,20.0,4,False,1.1347293377737488,cwh_dm_x_dr_act,assigned
resultant,693,545,CWHdm,cwh,dm,x,dr,act,40.0,20.0,4,True,1.590542024797032,cwh_dm_x_dr_act,assigned
resultant,694,545,CWHdm,cwh,dm,x,dr,act,40.0,20.0,4,True,0.39456099497448655,cwh_dm_x_dr_act,assigned
resultant,727,56,CWHdm,cwh,dm,x,dr,act,70.0,10.0,4,True,1.7050579463707407,cwh_dm_x_dr_act,assigned
resultant,739,457,CWHdm,cwh,dm,x,dr,act,60.0,20.0,4,False,0.6909269353906864,cwh_dm_x_dr_act,assigned
resultant,740,457,CWHdm,cwh,dm,x,dr,act,60.0,20.0,4,False,1.1674994311031894,cwh_dm_x_dr_act,assigned
resultant,872,89,CWHdm,cwh,dm,x,dr,act,45.0,25.0,5,False,1.9940154065399227,cwh_dm_x_dr_act,assigned
resultant,1198,258,CWHdm,cwh,dm,x,dr,act,80.0,10.0,4,False,2.260200981609294,cwh_dm_x_dr_act,assigned
resultant,1402,299,CWHdm,cwh,dm,x,dr,act,75.0,10.0,4,True,1.3047058909507914,cwh_dm_x_dr_act,assigned
resultant,1611,214,CWHdm,cwh,dm,x,dr,act,90.0,5.0,4,False,0.16722616363272022,cwh_dm_x_dr_act,assigned
resultant,1647,545,CWHdm,cwh,dm,x,dr,act,40.0,20.0,4,True,0.199100410006081,cwh_dm_x_dr_act,assigned
