TRACK,OFFSET,NEXTAGE,CYCLE,status,au,auf,oper,ct,aux
470,0,0,0,C,thn_957,2002,Operable,Y,957
472,0,0,0,N,569,2022,Operable,Y,569
473,0,0,0,C,569,2022,Operable,Y,569
474,0,0,0,C,2022,2022,Operable,Y,569
476,0,0,0,C,thn_2022,2022,Operable,Y,569
475,0,0,0,C,thn_569,2022,Operable,Y,569
477,0,0,0,N,200,2002,Operable,Y,200
478,0,0,0,C,200,2002,Operable,Y,200
479,0,0,0,C,2002,2002,Operable,Y,200
481,0,0,0,C,thn_2002,2002,Operable,Y,200
480,0,0,0,C,thn_200,2002,Operable,Y,200
482,0,0,0,N,213,2002,Operable,Y,213
483,0,0,0,C,213,2002,Operable,Y,213
484,0,0,0,C,2002,2002,Operable,Y,213
486,0,0,0,C,thn_2002,2002,Operable,Y,213
485,0,0,0,C,thn_213,2002,Operable,Y,213
487,0,0,0,N,380,2012,Operable,Y,380
488,0,0,0,C,380,2012,Operable,Y,380
489,0,0,0,C,2012,2012,Operable,Y,380
491,0,0,0,C,thn_2012,2012,Operable,Y,380
490,0,0,0,C,thn_380,2012,Operable,Y,380
492,0,0,0,N,423,423,Reserve,N,423
493,0,0,0,N,560,2012,Low Operability,N,560
494,0,0,0,C,560,2012,Low Operability,N,560
495,0,0,0,C,2012,2012,Low Operability,N,560
496,0,0,0,N,603,2012,Operable,Y,603
497,0,0,0,C,603,2012,Operable,Y,603
498,0,0,0,C,2012,2012,Operable,Y,603
500,0,0,0,C,thn_2012,2012,Operable,Y,603
499,0,0,0,C,thn_603,2012,Operable,Y,603
501,0,0,0,N,642,642,Reserve,N,642
502,0,0,0,N,743,743,Reserve,N,743
503,0,0,0,N,771,2012,Operable,Y,771
504,0,0,0,C,771,2012,Operable,Y,771
505,0,0,0,C,2012,2012,Operable,Y,771
507,0,0,0,C,thn_2012,2012,Operable,Y,771
506,0,0,0,C,thn_771,2012,Operable,Y,771
508,0,0,0,N,961,2002,Operable,Y,961
509,0,0,0,C,961,2002,Operable,Y,961
510,0,0,0,C,2002,2002,Operable,Y,961
512,0,0,0,C,thn_2002,2002,Operable,Y,961
511,0,0,0,C,thn_961,2002,Operable,Y,961
513,0,0,0,N,2102,2002,Operable,Y,2102
514,0,0,0,C,2102,2002,Operable,Y,2102
515,0,0,0,C,2002,2002,Operable,Y,2102
517,0,0,0,C,thn_2002,2002,Operable,Y,2102
516,0,0,0,C,thn_2102,2002,Operable,Y,2102
518,0,0,0,N,2121,74,Reserve,N,2121
519,0,0,0,N,403,2002,Operable,Y,403
520,0,0,0,C,403,2002,Operable,Y,403
521,0,0,0,C,2002,2002,Operable,Y,403
523,0,0,0,C,thn_2002,2002,Operable,Y,403
522,0,0,0,C,thn_403,2002,Operable,Y,403
524,0,0,0,N,412,412,Reserve,N,412
525,0,0,0,N,431,2012,Operable,Y,431
526,0,0,0,C,431,2012,Operable,Y,431
527,0,0,0,C,2012,2012,Operable,Y,431
529,0,0,0,C,thn_2012,2012,Operable,Y,431
528,0,0,0,C,thn_431,2012,Operable,Y,431
530,0,0,0,N,615,2012,Operable,Y,615
531,0,0,0,C,615,2012,Operable,Y,615
532,0,0,0,C,2012,2012,Operable,Y,615
534,0,0,0,C,thn_2012,2012,Operable,Y,615
533,0,0,0,C,thn_615,2012,Operable,Y,615
535,0,0,0,N,621,621,Reserve,N,621
536,0,0,0,N,712,2012,Operable,Y,712
537,0,0,0,C,712,2012,Operable,Y,712
538,0,0,0,C,2012,2012,Operable,Y,712
540,0,0,0,C,thn_2012,2012,Operable,Y,712
539,0,0,0,C,thn_712,2012,Operable,Y,712
541,0,0,0,N,860,2002,Operable,Y,860
542,0,0,0,C,860,2002,Operable,Y,860
543,0,0,0,C,2002,2002,Operable,Y,860
545,0,0,0,C,thn_2002,2002,Operable,Y,860
544,0,0,0,C,thn_860,2002,Operable,Y,860
546,0,0,0,N,93,2012,Operable,Y,93
547,0,0,0,C,93,2012,Operable,Y,93
548,0,0,0,C,2012,2012,Operable,Y,93
550,0,0,0,C,thn_2012,2012,Operable,Y,93
549,0,0,0,C,thn_93,2012,Operable,Y,93
551,0,0,0,N,105,2012,Operable,Y,105
552,0,0,0,C,105,2012,Operable,Y,105
