au,BA,CW,DR,FD,HW,YC,Dec,Oth
438,0,10,0,55,35,0,0,0
439,0,30,10,15,40,0,5,0
440,0,30,0,10,60,0,0,0
441,0,50,0,0,50,0,0,0
442,5,60,0,0,35,0,0,0
443,0,40,0,0,60,0,0,0
444,0,40,0,0,60,0,0,0
445,0,100,0,0,0,0,0,0
446,0,55,0,0,45,0,0,0
448,0,55,0,30,15,0,0,0
449,0,30,0,50,20,0,0,0
450,0,30,0,10,60,0,0,0
451,0,40,0,5,55,0,0,0
452,0,0,5,10,85,0,0,0
453,0,15,0,5,80,0,0,0
454,0,70,0,0,30,0,0,0
455,0,20,0,10,70,0,0,0
456,0,20,0,35,45,0,0,0
457,0,10,60,0,10,0,20,0
458,0,10,0,35,55,0,0,0
459,0,15,50,0,25,0,10,0
460,0,25,0,5,70,0,0,0
461,0,35,0,10,55,0,0,0
462,0,20,0,35,45,0,0,0
463,5,20,0,10,65,0,0,0
464,0,35,0,5,60,0,0,0
465,0,40,0,5,55,0,0,0
466,0,10,0,35,55,0,0,0
467,0,15,0,0,85,0,0,0
468,0,15,0,15,70,0,0,0
469,0,60,0,0,40,0,0,0
470,0,20,0,20,60,0,0,0
471,10,50,0,0,40,0,0,0
472,0,5,0,65,30,0,0,0
473,0,5,0,55,40,0,0,0
474,0,20,0,45,35,0,0,0
475,0,15,0,40,45,0,0,0
476,0,0,75,0,15,0,10,0
477,0,43,0,30,26,0,1,0
478,0,20,0,0,80,0,0,0
479,0,10,10,20,60,0,0,0
480,0,10,0,30,60,0,0,0
481,30,40,0,10,0,20,0,0
484,0,5,75,0,10,0,10,0
485,0,18,0,75,7,0,0,0
486,0,10,0,35,55,0,0,0
487,0,10,5,40,45,0,0,0
488,0,50,0,10,40,0,0,0
489,0,25,5,10,60,0,0,0
490,0,35,25,0,25,0,15,0
491,0,20,0,60,20,0,0,0
492,0,25,65,5,5,0,0,0
493,0,20,0,5,75,0,0,0
494,0,25,5,0,70,0,0,0
495,0,10,0,5,85,0,0,0
496,0,10,0,10,80,0,0,0
497,35,15,0,0,50,0,0,0
498,5,20,0,5,70,0,0,0
499,0,30,0,15,55,0,0,0
500,0,35,0,5,60,0,0,0
501,30,20,0,0,50,0,0,0
502,0,35,0,25,40,0,0,0
503,0,5,80,10,5,0,0,0
504,0,15,0,55,30,0,0,0
505,0,5,0,45,50,0,0,0
506,0,5,65,0,20,0,10,0
507,0,10,0,35,55,0,0,0
508,0,0,0,20,80,0,0,0
509,0,10,0,0,90,0,0,0
510,0,10,0,0,90,0,0,0
511,0,15,0,0,85,0,0,0
512,0,18,2,20,60,0,0,0
513,0,10,0,20,70,0,0,0
514,0,25,0,5,70,0,0,0
515,0,0,0,60,40,0,0,0
516,0,20,0,5,75,0,0,0
517,0,10,0,0,90,0,0,0
518,0,27,0,3,70,0,0,0
519,0,4,0,0,90,0,6,0
520,0,10,0,17,73,0,0,0
521,0,15,0,15,70,0,0,0
522,0,40,0,0,60,0,0,0
523,0,20,0,0,80,0,0,0
524,10,50,0,5,35,0,0,0
525,0,80,0,0,20,0,0,0
526,0,100,0,0,0,0,0,0
527,0,5,0,15,80,0,0,0
528,0,30,25,5,40,0,0,0
529,0,25,0,0,75,0,0,0
530,0,30,0,55,15,0,0,0
531,0,60,0,0,40,0,0,0
532,0,15,0,70,15,0,0,0
533,0,10,0,30,60,0,0,0
534,0,10,0,35,55,0,0,0
535,0,25,3,52,20,0,0,0
536,0,25,0,60,15,0,0,0
537,0,20,0,20,60,0,0,0
538,0,0,80,0,10,0,10,0
539,0,0,5,60,35,0,0,0
540,0,5,0,55,40,0,0,0
541,0,20,0,20,60,0,0,0
542,0,0,0,70,30,0,0,0
543,0,10,0,40,50,0,0,0
544,0,30,0,0,70,0,0,0
545,0,20,40,0,20,0,20,0
546,0,20,10,5,65,0,0,0
547,0,25,15,5,55,0,0,0
548,0,80,0,0,20,0,0,0
549,0,20,0,10,70,0,0,0
550,0,25,0,5,70,0,0,0
551,0,0,0,15,85,0,0,0
552,0,15,0,5,80,0,0,0
553,0,20,0,10,70,0,0,0
554,0,50,0,5,45,0,0,0
555,0,40,5,5,50,0,0,0
556,0,5,0,5,90,0,0,0
557,0,20,0,0,80,0,0,0
558,0,20,0,5,75,0,0,0
559,0,20,0,15,65,0,0,0
560,0,30,0,10,60,0,0,0
561,0,20,5,30,45,0,0,0
562,0,25,0,25,50,0,0,0
563,0,55,5,0,40,0,0,0
564,0,40,0,15,45,0,0,0
565,5,45,0,0,50,0,0,0
566,0,35,0,5,60,0,0,0
567,0,30,0,0,70,0,0,0
568,0,5,85,0,10,0,0,0
569,0,9,0,32,59,0,0,0
571,0,10,0,25,65,0,0,0
572,0,40,0,0,60,0,0,0
573,0,40,0,15,45,0,0,0
574,0,45,0,0,55,0,0,0
575,0,15,0,15,70,0,0,0
576,0,20,0,0,80,0,0,0
577,0,5,0,60,35,0,0,0
578,0,10,0,20,70,0,0,0
579,0,55,0,15,30,0,0,0
580,0,10,55,5,30,0,0,0
581,0,5,85,0,10,0,0,0
582,0,10,3,2,85,0,0,0
583,0,30,0,10,60,0,0,0
584,0,100,0,0,0,0,0,0
586,0,35,0,5,60,0,0,0
587,0,10,0,35,55,0,0,0
588,0,10,0,0,90,0,0,0
589,0,35,0,20,45,0,0,0
590,0,10,0,5,85,0,0,0
591,0,0,20,20,40,0,20,0
592,0,20,0,10,70,0,0,0
593,0,10,0,0,90,0,0,0
594,0,20,0,20,60,0,0,0
595,0,40,0,5,55,0,0,0
596,0,25,0,60,15,0,0,0
597,5,5,0,50,40,0,0,0
598,0,15,0,5,80,0,0,0
599,0,15,0,10,75,0,0,0
600,0,30,0,10,60,0,0,0
601,5,15,0,0,80,0,0,0
602,0,20,0,5,75,0,0,0
603,0,10,0,10,80,0,0,0
604,0,35,0,5,60,0,0,0
605,0,25,0,5,70,0,0,0
606,0,85,0,0,15,0,0,0
608,0,32,0,13,55,0,0,0
609,0,20,0,5,75,0,0,0
610,0,50,0,5,45,0,0,0
611,0,50,0,10,40,0,0,0
612,0,20,15,0,60,0,5,0
613,0,10,0,0,85,0,5,0
614,0,40,0,5,55,0,0,0
615,0,15,0,15,70,0,0,0
616,3,25,0,5,67,0,0,0
617,0,50,5,15,30,0,0,0
619,0,10,0,50,40,0,0,0
620,0,50,0,5,45,0,0,0
621,0,20,60,5,15,0,0,0
622,0,25,5,40,30,0,0,0
623,0,30,0,50,20,0,0,0
624,0,60,0,20,10,0,10,0
625,0,15,5,70,10,0,0,0
626,0,40,5,45,10,0,0,0
627,0,45,25,0,30,0,0,0
628,0,30,5,50,15,0,0,0
629,0,45,5,30,20,0,0,0
630,0,30,0,55,15,0,0,0
631,0,20,80,0,0,0,0,0
632,5,5,0,70,20,0,0,0
633,0,30,0,10,60,0,0,0
634,0,5,0,15,80,0,0,0
635,10,20,0,0,70,0,0,0
636,0,45,0,43,0,0,0,12
637,5,40,0,5,50,0,0,0
638,20,20,0,0,60,0,0,0
639,60,20,0,0,20,0,0,0
640,30,40,0,0,30,0,0,0
641,30,40,0,0,30,0,0,0
642,10,10,0,0,80,0,0,0
643,40,20,0,0,40,0,0,0
644,60,25,0,0,15,0,0,0
645,0,45,0,25,30,0,0,0
646,35,25,0,0,40,0,0,0
647,15,35,0,0,50,0,0,0
648,30,20,0,0,50,0,0,0
649,5,20,0,10,65,0,0,0
650,40,15,0,0,45,0,0,0
651,0,20,0,50,30,0,0,0
652,15,35,0,5,45,0,0,0
653,0,30,5,15,50,0,0,0
654,0,10,0,25,65,0,0,0
655,0,55,0,0,45,0,0,0
656,0,15,0,40,45,0,0,0
657,0,15,0,20,65,0,0,0
